epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,343.972,0.68521,5.50022,0.00952,0.00666,0.95119,0.25023,0.21089,0.49582,7.99715,0.00935,0.000297491,0.000297491,0.000297491
2,669.205,0.7152,4.29895,0.01003,0.54737,0.59225,0.57815,0.48944,0.71589,6.19404,0.01534,0.000594546,0.000594546,0.000594546
3,1014.58,0.78915,3.37416,0.0111,0.68092,0.68582,0.74835,0.61061,0.78555,5.01624,0.01756,0.000885602,0.000885602,0.000885602
4,1522.56,0.7903,2.83146,0.01129,0.73806,0.78502,0.8351,0.71246,0.68295,3.908,0.01435,0.000882003,0.000882003,0.000882003
5,1801.1,0.78652,2.44979,0.01147,0.86198,0.76781,0.87833,0.74302,0.71792,3.30371,0.0152,0.000873004,0.000873004,0.000873004
6,2085.44,0.76462,2.07016,0.01072,0.85268,0.84401,0.92575,0.79687,0.65004,2.62375,0.01387,0.000864004,0.000864004,0.000864004
7,2367.64,0.7935,1.79197,0.01077,0.87131,0.81204,0.92578,0.77161,0.71432,2.32967,0.01566,0.000855005,0.000855005,0.000855005
8,2635.86,0.79802,1.68427,0.01146,0.87388,0.86265,0.93572,0.78422,0.7256,1.93682,0.01545,0.000846006,0.000846006,0.000846006
9,2904.11,0.76025,1.43397,0.01076,0.88848,0.84548,0.93427,0.80147,0.67461,1.68481,0.01512,0.000837007,0.000837007,0.000837007
10,3173.24,0.73986,1.24468,0.01022,0.89713,0.89704,0.95448,0.81949,0.64586,1.42075,0.01403,0.000828008,0.000828008,0.000828008
11,3441.2,0.75353,1.14719,0.01095,0.92939,0.8577,0.95373,0.83418,0.61145,1.21342,0.01296,0.000819009,0.000819009,0.000819009
12,3709.82,0.75459,1.064,0.01065,0.90988,0.89118,0.96072,0.80904,0.68736,1.13631,0.01526,0.00081001,0.00081001,0.00081001
13,3979.07,0.74724,0.9956,0.01012,0.92748,0.87799,0.96003,0.82508,0.63358,1.02118,0.01313,0.000801011,0.000801011,0.000801011
14,4247.28,0.70933,0.89785,0.01004,0.88857,0.92695,0.96865,0.83208,0.63816,0.87693,0.01367,0.000792012,0.000792012,0.000792012
15,4514.94,0.7225,0.8333,0.01018,0.91612,0.91859,0.96783,0.81857,0.67686,0.85282,0.01433,0.000783013,0.000783013,0.000783013
16,4782.47,0.70166,0.7901,0.00975,0.94749,0.86803,0.96535,0.83304,0.63987,0.79429,0.0132,0.000774013,0.000774013,0.000774013
17,5050.14,0.69495,0.75964,0.01001,0.9301,0.91588,0.96673,0.83338,0.62067,0.73478,0.0126,0.000765014,0.000765014,0.000765014
18,5316.27,0.71378,0.7579,0.01002,0.96684,0.89729,0.97483,0.82941,0.63713,0.66577,0.01323,0.000756015,0.000756015,0.000756015
19,5584.85,0.7115,0.70135,0.00975,0.89607,0.91978,0.96213,0.83001,0.61879,0.65511,0.01333,0.000747016,0.000747016,0.000747016
20,5852.28,0.70899,0.73318,0.01036,0.93259,0.92526,0.97126,0.83822,0.60878,0.61182,0.01262,0.000738017,0.000738017,0.000738017
21,6121.24,0.68841,0.68354,0.00929,0.97351,0.89213,0.97175,0.83718,0.61381,0.60051,0.01298,0.000729018,0.000729018,0.000729018
22,6388.86,0.69376,0.62984,0.00946,0.96002,0.91771,0.97358,0.82984,0.65611,0.57217,0.01448,0.000720019,0.000720019,0.000720019
23,6657.09,0.69304,0.61858,0.00957,0.92221,0.92674,0.97504,0.84552,0.59804,0.50772,0.01229,0.00071102,0.00071102,0.00071102
24,6923.02,0.68311,0.62495,0.00973,0.94535,0.92541,0.97458,0.85527,0.57905,0.54888,0.01218,0.000702021,0.000702021,0.000702021
25,7190.45,0.67097,0.58888,0.00921,0.96289,0.88614,0.96393,0.8427,0.58938,0.53895,0.01236,0.000693022,0.000693022,0.000693022
26,7459.92,0.67197,0.575,0.00926,0.94251,0.91862,0.97751,0.85094,0.58691,0.47231,0.0119,0.000684022,0.000684022,0.000684022
27,7729.62,0.66775,0.55596,0.00928,0.93419,0.9392,0.96889,0.84575,0.56491,0.48128,0.01192,0.000675023,0.000675023,0.000675023
28,7999.6,0.65926,0.5393,0.00918,0.92852,0.93785,0.97213,0.84043,0.59205,0.46555,0.01243,0.000666024,0.000666024,0.000666024
29,8266.54,0.65577,0.5457,0.00906,0.91962,0.95011,0.97662,0.85364,0.5726,0.44367,0.01156,0.000657025,0.000657025,0.000657025
30,8534.1,0.65855,0.56091,0.00889,0.93408,0.93977,0.97222,0.84475,0.60129,0.45081,0.0124,0.000648026,0.000648026,0.000648026
31,8801.02,0.64439,0.49693,0.00899,0.9457,0.93878,0.97744,0.85508,0.59905,0.41529,0.01189,0.000639027,0.000639027,0.000639027
32,9067.22,0.66704,0.52787,0.00936,0.94814,0.92581,0.97422,0.85112,0.59356,0.43522,0.01261,0.000630028,0.000630028,0.000630028
33,9332.35,0.6729,0.50974,0.00943,0.92797,0.94888,0.97242,0.8534,0.56453,0.41476,0.0119,0.000621029,0.000621029,0.000621029
34,9598.55,0.65354,0.49123,0.00942,0.96116,0.91649,0.97675,0.86287,0.57074,0.41032,0.01175,0.00061203,0.00061203,0.00061203
35,9864.03,0.64183,0.48385,0.00907,0.93982,0.96706,0.98216,0.85329,0.5774,0.36927,0.01196,0.000603031,0.000603031,0.000603031
36,10128.5,0.63508,0.4793,0.00907,0.97371,0.9415,0.98524,0.85769,0.59666,0.37073,0.01261,0.000594031,0.000594031,0.000594031
37,10394.4,0.66338,0.48812,0.00913,0.94475,0.93935,0.97643,0.85366,0.57772,0.40004,0.01224,0.000585032,0.000585032,0.000585032
38,10659.2,0.64271,0.46067,0.00885,0.92504,0.94725,0.97635,0.84582,0.60198,0.38852,0.01248,0.000576033,0.000576033,0.000576033
39,10926.1,0.6447,0.47709,0.0093,0.94217,0.96182,0.9791,0.85889,0.58617,0.35338,0.01202,0.000567034,0.000567034,0.000567034
40,11192.7,0.63067,0.46248,0.00876,0.95128,0.97414,0.98046,0.86473,0.56649,0.33647,0.01169,0.000558035,0.000558035,0.000558035
41,11458.4,0.62317,0.45269,0.00869,0.97107,0.93281,0.97329,0.85755,0.55002,0.37253,0.01126,0.000549036,0.000549036,0.000549036
42,11722.8,0.60522,0.42493,0.00841,0.95805,0.93745,0.97676,0.86323,0.54669,0.36317,0.01089,0.000540037,0.000540037,0.000540037
43,11988.8,0.61733,0.42092,0.00849,0.95968,0.94366,0.97758,0.85849,0.57292,0.35373,0.01164,0.000531038,0.000531038,0.000531038
44,12252.3,0.61124,0.44768,0.00861,0.96031,0.95704,0.98307,0.87319,0.54522,0.31189,0.01103,0.000522039,0.000522039,0.000522039
45,12516.3,0.62381,0.41738,0.00835,0.94333,0.96743,0.98117,0.86344,0.57103,0.32518,0.01193,0.00051304,0.00051304,0.00051304
46,12781.8,0.58653,0.4175,0.00802,0.96809,0.9519,0.98395,0.87044,0.55421,0.30073,0.01146,0.00050404,0.00050404,0.00050404
47,13047,0.60934,0.40542,0.0082,0.95266,0.95726,0.98132,0.87373,0.52128,0.30934,0.01048,0.000495041,0.000495041,0.000495041
